xrays,masks
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/0.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/0.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/1.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/1.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/2.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/2.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/3.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/3.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/4.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/4.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/5.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/5.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/6.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/6.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/7.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/7.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/8.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/8.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/9.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/9.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/10.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/10.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/11.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/11.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/12.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/12.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/13.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/13.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/14.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/14.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/15.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/15.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/16.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/16.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/17.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/17.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/18.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/18.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/19.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/19.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/20.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/20.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/21.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/21.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/22.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/22.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/23.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/23.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/24.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/24.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/25.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/25.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/26.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/26.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/27.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/27.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/28.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/28.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/29.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/29.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/30.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/30.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/31.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/31.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/32.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/32.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/33.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/33.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/34.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/34.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/35.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/35.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/36.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/36.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/37.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/37.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/38.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/38.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/39.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/39.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/40.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/40.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/41.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/41.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/42.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/42.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/43.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/43.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/44.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/44.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/45.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/45.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/46.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/46.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/47.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/47.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/48.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/48.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/49.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/49.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/50.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/50.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/51.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/51.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/52.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/52.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/53.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/53.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/54.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/54.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/55.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/55.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/56.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/56.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/57.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/57.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/58.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/58.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/59.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/59.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/60.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/60.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/61.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/61.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/62.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/62.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/63.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/63.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/64.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/64.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/65.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/65.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/66.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/66.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/67.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/67.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/68.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/68.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/69.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/69.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/70.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/70.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/71.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/71.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/72.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/72.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/73.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/73.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/74.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/74.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/75.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/75.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/76.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/76.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/77.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/77.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/78.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/78.png
/Users/tiia-/Downloads/cnn/Tibia/data/xrays/79.png,/Users/tiia-/Downloads/cnn/Tibia/data/masks/79.png
